Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
100	1.0	0.0	-inf	1	0.99991	0.0001	0.00018701665931277804
200	-0.4	1.8547236990991407	-inf	5	0.99982	0.0001	0.00026362240314483645
300	-0.25	1.479019945774904	-inf	8	0.99973	0.0001	0.0002997360626856486
400	0.09090909090909091	1.4431370787625042	-inf	11	0.99964	0.0001	0.00037196377913157144
500	0.07692307692307693	1.3278981924332363	-inf	13	0.99955	0.0001	0.00037754548920525445
600	0.11764705882352941	1.1823383083671635	-inf	17	0.99946	0.0001	0.0003859220610724555
700	0.10526315789473684	1.118962717129963	-inf	19	0.99937	0.0001	0.0003942502207226223
800	-0.045454545454545456	1.223901092530569	-inf	22	0.99928	0.0001	0.0004028664694892036
900	-0.52	2.0614557962760203	-inf	25	0.99919	0.0001	0.001205376452869839
1000	-0.5	2.023895710295826	-inf	26	0.9991	0.0001	0.0012136755386988323
1100	-0.5517241379310345	2.0441034945212317	-inf	29	0.99901	0.0001	0.001321963800324334
1200	-0.46875	1.968253905749967	-inf	32	0.99892	0.0001	0.0013288630379570854
1300	-0.4117647058823529	1.926863453430494	-inf	34	0.99883	0.0001	0.0013386277357737223
1400	-0.43243243243243246	1.966483217684459	-inf	37	0.99874	0.0001	0.001346922649277581
1500	-0.3684210526315789	1.9791153344171752	-inf	38	0.99865	0.0001	0.001356676287121243
1600	-0.35	1.9306734576307825	-inf	40	0.99856	0.0001	0.001366477608680725
1700	-0.2727272727272727	1.8630819574471997	-inf	44	0.99847	0.0001	0.0013762070735295613
1800	-0.2391304347826087	1.8319006832854094	-inf	46	0.99838	0.0001	0.0013858212365044488
1900	-0.23404255319148937	1.8126360956382008	-inf	47	0.99829	0.0001	0.0013970099555121527
2000	-0.22448979591836735	1.7758620341067013	-inf	49	0.9982	0.0001	0.0014080303245120579
2100	-0.2641509433962264	1.7925521323039428	-inf	53	0.99811	0.0001	0.0014191403653886583
2200	-0.25	1.7448905000437298	-inf	56	0.99802	0.0001	0.001430279082722134
2300	-0.288135593220339	1.776025342024371	-inf	59	0.99793	0.0001	0.0014400727219051786
2400	-0.3387096774193548	1.7955459982528519	-inf	62	0.99784	0.0001	0.001449743111928304
2500	-0.3181818181818182	1.7421607178851637	-inf	66	0.99775	0.0001	0.0015441737572352092
2600	-0.2898550724637681	1.7118635432154672	-inf	69	0.99766	0.0001	0.0015524682071473863
2700	-0.2535211267605634	1.7010213159038585	-inf	71	0.99757	0.0001	0.001560830208990309
2800	-0.3055555555555556	1.745143172166119	-inf	72	0.99748	0.0001	0.0015692421462800768
2900	-0.32	1.7447826989819295	-inf	75	0.99739	0.0001	0.0015774659978018866
3000	-0.2948717948717949	1.7179965550171001	-inf	78	0.9973	0.0001	0.0015858074029286703
3100	-0.3333333333333333	1.7356110390903678	-inf	81	0.99721	0.0001	0.0015942188103993734
3200	-0.4166666666666667	1.8974188817175854	-inf	84	0.99712	0.0001	0.0016039762894312541
3300	-0.3793103448275862	1.8769097817885236	-inf	87	0.99703	0.0001	0.0016136507855521308
3400	-0.4111111111111111	1.8849959884687313	-inf	90	0.99694	0.0001	0.001621984706984626
3500	-0.4065934065934066	1.8751001261355218	-inf	91	0.99685	0.0001	0.00163033922513326
3600	-0.3763440860215054	1.8717709312945368	-inf	93	0.99676	0.0001	0.0016400790876812405
3700	-0.53125	2.217135562875366	-inf	96	0.99667	0.0001	0.0016496931182013617
3800	-0.5510204081632653	2.209083515663304	-inf	98	0.99658	0.0001	0.0016580992274814182
3900	-0.58	2.2144073699299325	-0.58	102	0.99649	0.0001	0.0016692374812232124
4000	-0.59	2.209502206380433	-0.58	105	0.9964	0.0001	0.0016775708066092596
4100	-0.59	2.2095022063804324	-0.58	108	0.99631	0.0001	0.0016858772436777751
4200	-0.61	2.1949715260112144	-0.58	111	0.99622	0.0001	0.0016942277219560411
4300	-0.61	2.1949715260112144	-0.58	113	0.99613	0.0001	0.0017025658157136705
4400	-0.6	2.2045407685048604	-0.58	116	0.99604	0.0001	0.0017109515269597372
4500	-0.64	2.2294393914165958	-0.58	119	0.99595	0.0001	0.0017206342352761163
4600	-0.64	2.2294393914165958	-0.58	122	0.99586	0.0001	0.0017275654607348972
4700	-0.52	2.0759576103572055	-0.52	126	0.99577	0.0001	0.0018038954999711778
4800	-0.49	2.042033300414075	-0.48	129	0.99568	0.0001	0.0018198744455973307
4900	-0.48	2.0468512403201164	-0.48	132	0.99559	0.0001	0.0018372336361143324
5000	-0.53	2.1468814592333687	-0.48	135	0.9955	0.0001	0.0018442384401957195
5100	-0.6	2.154065922853802	-0.48	138	0.99541	0.0001	0.001852527724372016
5200	-0.65	2.183460556089805	-0.48	141	0.99532	0.0001	0.0018610286050372653
5300	-0.71	2.196793117250689	-0.48	144	0.99523	0.0001	0.0018719470500946046
5400	-0.7	2.202271554554524	-0.48	145	0.99514	0.0001	0.0018803297148810494
5500	-0.74	2.225398840657557	-0.48	147	0.99505	0.0001	0.0018914035293791029
5600	-0.74	2.225398840657557	-0.48	151	0.99496	0.0001	0.0019012129969067043
